size,density,noise_level,negative_values,algorithm,negative_cycle,seconds,total_pairs,reachable_pairs,reachable_ratio,positive_pairs,positive_ratio,neg_inf_pairs,mean,median,min,max
500,1.0,0.0,False,dijkstra,False,24.12579119997099,249500,249500,1.0,249500,1.0,0,526.4295951903807,518.0,1.0,1366.0
500,1.0,0.0,True,bellman-ford,False,23.73965339991264,249500,249500,1.0,249500,1.0,0,526.4295951903807,518.0,1.0,1366.0
500,1.0,0.1,False,dijkstra,False,25.560086200013757,249500,249500,1.0,249500,1.0,0,550.5679078156313,541.0,3.0,1386.0
500,1.0,0.1,True,bellman-ford,True,0.0022314999951049685,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,1.0,0.5,False,dijkstra,False,27.229852699907497,249500,249500,1.0,249500,1.0,0,612.5355511022044,600.0,5.0,1437.0
500,1.0,0.5,True,bellman-ford,True,0.0017745000077411532,0,0,0.0,0,0.0,0,nan,nan,nan,nan
500,1.0,0.8,False,dijkstra,False,25.84917540010065,249500,249500,1.0,249500,1.0,0,648.7897595190381,636.0,5.0,1471.0
500,1.0,0.8,True,bellman-ford,True,0.0008648999501019716,0,0,0.0,0,0.0,0,nan,nan,nan,nan
1000,0.2,0.0,False,dijkstra,False,46.84219380002469,999000,999000,1.0,999000,1.0,0,530.265062062062,517.0,2.0,1378.0
1000,0.2,0.0,True,bellman-ford,False,47.19261409994215,999000,999000,1.0,999000,1.0,0,530.265062062062,517.0,2.0,1378.0
1000,0.2,0.1,False,dijkstra,False,49.359952399972826,999000,999000,1.0,999000,1.0,0,589.5461711711712,574.0,8.0,1410.0
1000,0.2,0.1,True,bellman-ford,True,0.006720900069922209,0,0,0.0,0,0.0,0,nan,nan,nan,nan
1000,0.2,0.5,False,dijkstra,False,52.62879960006103,999000,999000,1.0,999000,1.0,0,726.6932262262262,714.0,9.0,1510.0
1000,0.2,0.5,True,bellman-ford,True,0.001961599919013679,0,0,0.0,0,0.0,0,nan,nan,nan,nan
1000,0.2,0.8,False,dijkstra,False,47.46180569997523,999000,999000,1.0,999000,1.0,0,801.7516066066066,795.0,10.0,1596.0
1000,0.2,0.8,True,bellman-ford,True,0.0021234999876469374,0,0,0.0,0,0.0,0,nan,nan,nan,nan
1000,0.5,0.0,False,dijkstra,False,103.97816420008894,999000,999000,1.0,999000,1.0,0,524.9188638638639,515.0,1.0,1378.0
1000,0.5,0.0,True,bellman-ford,False,101.55621660000179,999000,999000,1.0,999000,1.0,0,524.9188638638639,515.0,1.0,1378.0
1000,0.5,0.1,False,dijkstra,False,113.40688789996784,999000,999000,1.0,999000,1.0,0,556.5395085085086,544.0,5.0,1392.0
1000,0.5,0.1,True,bellman-ford,True,0.007863899925723672,0,0,0.0,0,0.0,0,nan,nan,nan,nan
1000,0.5,0.5,False,dijkstra,False,121.8719252999872,999000,999000,1.0,999000,1.0,0,631.0373693693693,616.0,6.0,1435.0
1000,0.5,0.5,True,bellman-ford,True,0.0013604999985545874,0,0,0.0,0,0.0,0,nan,nan,nan,nan
